Target: DALA_SatFine

Observer: Montegancedo
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
19 Oct 2031 12:13:37.366    19 Oct 2031 19:50:01.040      27383.674002    
20 Oct 2031 12:10:27.784    20 Oct 2031 19:46:45.274      27377.490269    
21 Oct 2031 12:07:18.508    21 Oct 2031 19:43:29.573      27371.065210    
22 Oct 2031 12:04:09.538    22 Oct 2031 19:40:13.832      27364.294425    
23 Oct 2031 12:01:00.872    23 Oct 2031 19:36:58.567      27357.694149    
24 Oct 2031 11:57:52.508    24 Oct 2031 19:33:44.668      27352.159746    
25 Oct 2031 11:54:44.441    25 Oct 2031 19:30:31.994      27347.552738    
26 Oct 2031 11:51:36.664    26 Oct 2031 19:27:20.190      27343.525141    
27 Oct 2031 11:48:29.173    27 Oct 2031 19:24:09.069      27339.895716    
28 Oct 2031 11:45:21.961    28 Oct 2031 19:20:58.537      27336.575620    
29 Oct 2031 11:42:15.024    29 Oct 2031 19:17:48.541      27333.517321    
30 Oct 2031 11:39:08.354    30 Oct 2031 19:14:39.047      27330.693139    
31 Oct 2031 11:36:01.946    31 Oct 2031 19:11:30.032      27328.085986    
01 Nov 2031 11:32:55.793    01 Nov 2031 19:08:21.478      27325.684936    
02 Nov 2031 11:29:49.889    02 Nov 2031 19:05:13.372      27323.482790    
03 Nov 2031 11:26:44.228    03 Nov 2031 19:02:05.702      27321.474351    
04 Nov 2031 11:23:38.803    04 Nov 2031 18:58:58.458      27319.654663    
05 Nov 2031 11:20:33.613    05 Nov 2031 18:55:51.630      27318.016353    
06 Nov 2031 11:17:28.664    06 Nov 2031 18:52:45.208      27316.544034    
07 Nov 2031 11:14:23.984    07 Nov 2031 18:49:39.183      27315.199517    
08 Nov 2031 11:11:19.669    08 Nov 2031 18:46:33.545      27313.875870    
09 Nov 2031 11:08:16.019    09 Nov 2031 18:43:28.283      27312.264024    
10 Nov 2031 11:05:13.497    10 Nov 2031 18:40:23.383      27309.885495    
11 Nov 2031 11:02:11.763    11 Nov 2031 18:37:18.831      27307.067947    
12 Nov 2031 10:59:10.197    12 Nov 2031 18:34:14.608      27304.410941    
13 Nov 2031 10:56:08.651    13 Nov 2031 18:31:10.690      27302.039701    
14 Nov 2031 10:53:07.126    14 Nov 2031 18:28:07.047      27299.921012    
15 Nov 2031 10:50:05.644    15 Nov 2031 18:25:03.636      27297.992000    
16 Nov 2031 10:47:04.218    16 Nov 2031 18:22:00.393      27296.174205    
17 Nov 2031 10:44:02.861    17 Nov 2031 18:18:57.223      27294.362142    
18 Nov 2031 10:41:01.576    18 Nov 2031 18:15:53.984      27292.408215    
19 Nov 2031 10:38:00.364    19 Nov 2031 18:12:50.582      27290.217840    
20 Nov 2031 10:34:59.225    20 Nov 2031 18:09:47.576      27288.350869    
21 Nov 2031 10:31:58.156    21 Nov 2031 18:06:45.804      27287.647800    
22 Nov 2031 10:28:57.153    22 Nov 2031 18:03:45.079      27287.925654    
23 Nov 2031 10:25:56.212    23 Nov 2031 18:00:45.064      27288.852173    
