DALA_SatFine.Jupiter.Altitude   DALA_SatFine.ElapsedSecs   
17981.5374733066                120151515.1210561          
DALA_SatFine.Jupiter.Altitude   DALA_SatFine.ElapsedSecs   
17981.5374733066                120151515.1210561          
17947.55944603308               120151575.1210563          
17846.68733430638               120151730.0246317          
17661.43602722776               120151963.4156567          
17428.91503381709               120152207.5061408          
17159.69673822497               120152452.2398019          
16858.04943273807               120152696.0918004          
16526.27120277048               120152938.5470157          
16165.34397151459               120153179.2301342          
15775.12689807948               120153417.7983848          
15354.53824455886               120153653.9407031          
14901.80252772983               120153887.3843461          
14414.77129628885               120154117.8905208          
13891.2477315266                120154345.264026           
13329.33251690379               120154569.3508562          
12727.75747484507               120154790.0368467          
12086.15676293026               120155007.2556224          
11405.32244216032               120155220.9845809          
10687.42536384819               120155431.237968           
9936.147110331105               120155638.0724068          
9156.800701375003               120155841.5807062          
8356.409332142488               120156041.8861086          
7543.700673848332               120156239.1468805          
6729.116024862044               120156433.5458091          
5924.729955514835               120156625.2899712          
5144.117350090019               120156814.608416           
4402.162782919258               120157001.7454555          
3714.724648190284               120157186.9653049          
3098.241820691896               120157370.5431527          
2569.167486789695               120157552.764172           
2143.271680821286               120157733.9214133          
1834.827701637347               120157914.3139001          
1655.740542160711               120158094.2446236          
1614.708427675359               120158274.0157611          
1716.529762382226               120158453.9342331          
1961.669958539132               120158634.296081           
2346.166803036933               120158815.3966439          
2861.903512111647               120158997.5281545          
3497.130553880677               120159180.9650607          
4237.268445315683               120159365.9787668          
5065.72379570987                120159552.8262465          
5964.713233327173               120159741.7502293          
6915.985558373228               120159932.9764961          
7901.453762720761               120160126.7185955          
8903.610922903055               120160323.1658382          
9905.904118198639               120160522.4879101          
10892.98649703199               120160724.8339045          
11850.87308114288               120160930.327926           
12767.04769033466               120161139.0652456          
13630.54805708987               120161351.1115023          
14432.0203234017                120161566.501103           
15163.75205676329               120161785.2351742          
15819.70165838458               120162007.2839861          
16395.45436841773               120162232.569374           
16888.27152689754               120162460.9846684          
17297.00807752389               120162692.3772822          
17622.07944646962               120162926.5637747          
17865.33202203052               120163163.3114137          
18029.93654170801               120163402.3612116          
18120.18616704008               120163643.4187353          
18141.27674658013               120163886.1534665          
18099.04135466699               120164130.2195203          
17999.64740667713               120164375.2399243          
17849.27786955488               120164620.823423           
17653.80263980197               120164866.571782           
17418.47768423028               120165112.0785209          
17147.68087362552               120165356.9384298          
16844.71651068833               120165600.7539463          
16511.70216399476               120165843.1427643          
16149.55607685859               120166083.7433452          
15758.09496955657               120166322.2137413          
15336.19548156079               120166558.2485604          
14882.06726386052               120166791.5722634          
14393.54630053465               120167021.9512322          
13868.44660422846               120167249.1894384          
13304.89227731203               120167473.1334498          
12701.63734709949               120167693.6750989          
12058.3607556912                120167910.7491176          
11375.9142897819                120168124.3324856          
10656.53018699745               120168334.4411824          
9903.955085957365               120168541.1339389          
9123.575853007351               120168744.5041319          
8322.474543442586               120168944.6797139          
7509.465638389345               120169141.8164533          
6695.061865856856               120169336.0980489          
5891.395656179055               120169527.7344855          
5112.104215399071               120169716.9548093          
4372.105556710463               120169904.007818           
3687.309483026635               120170089.1539622          
3074.16622383846                120170272.6691551          
2549.114379200691               120170454.8389438          
2127.876050511419               120170635.9570779          
1824.640769321399               120170816.3236916          
1651.196428341646               120170996.2417153          
1616.09134546385                120171176.0151184          
1723.947722796031               120171355.9443074          
1975.042818697781               120171536.3298106          
2365.238396566929               120171717.4687824          
2886.239072912489               120171899.6469709          
3526.183912551656               120172083.1466854          
4270.378834901334               120172268.2339635          
5102.162314860383               120172455.1649458          
6003.711763784813               120172644.1807035          
6956.795796937178               120172835.5115173          
7943.316266815134               120173029.3645231          
8945.808429777229               120173225.9300023          
9947.771745885038               120173425.3780762          
10933.90393533933               120173627.8549628          
11890.28608606725               120173833.4849484          
12804.46012465884               120174042.3608718          
13665.53503043173               120174254.5481349          
14464.23397713684               120174470.0823492          
15192.90069806129               120174688.9600426          
15845.55706687302               120174911.1475841          
16417.86609526977               120175136.5673047          
16907.15242505427               120175365.1078638          
17312.35290491888               120175596.622201           
17633.93307408437               120175830.9178661          
17873.80565835003               120176067.7654449          
18035.1913593972                120176306.9043038          
18122.42491434774               120176548.0377267          
18140.73437619112               120176790.8364091          
18095.97232713332               120177034.9498752          
17994.31498909502               120177279.9989408          
17841.93704765521               120177525.5963099          
17644.68885170513               120177771.3416458          
17407.79546259731               120178016.8272497          
17135.58693457222               120178261.6536143          
16831.32530607497               120178505.4177637          
16497.07491028942               120178747.740226           
16133.70654984174               120178988.2592009          
15740.99363476448               120179226.6340432          
15317.78032512894               120179462.5600059          
14862.25271110637               120179695.7641688          
14372.24027280866               120179926.0138528          
13845.56162380837               120180153.1156592          
13280.35841177114               120180376.9190005          
12675.42061079603               120180597.3163227          
12030.47794732389               120180814.2421558          
11346.42916911111               120181027.6777752          
10625.56103535996               120181237.6426769          
9871.688651200369               120181444.196321           
9090.279248896739               120181647.4308246          
8288.480128605181               120181847.4773783          
7475.185611848297               120182044.4911319          
6660.975499013963               120182238.6577318          
5858.047878789162               120182430.1882333          
5080.100669034495               120182619.3120749          
4342.107963312461               120182806.276604           
3659.996591397401               120182991.3465417          
3050.231399295822               120183174.7974495          
2529.230385874151               120183356.9172316          
2112.676795214007               120183537.9973196          
1814.672677274357               120183718.3404692          
1646.891709188552               120183898.2470918          
1617.727534684003               120184078.0181558          
1731.624763735555               120184257.9612271          
1988.675925624077               120184438.3730465          
2384.559283824899               120184619.5500097          
2910.812329282155               120184801.7768357          
3555.437758299406               120184985.3355112          
4303.645936024885               120185170.4929502          
5138.712438053146               120185357.5048746          
6042.797170412217               120185546.6144699          
6997.63003734214                120185738.0440957          
7985.150992757364               120185932.0043178          
8987.934663824068               120186128.68542            
9989.522046505299               120186328.2555789          
10974.6686186994                120186530.8605791          
11929.51145884181               120186736.6226759          
12841.66710033636               120186945.6358734          
13700.30908833358               120187157.9642027          
14496.20940561227               120187373.636924           
15221.80067517915               120187592.6542239          
15871.17060306888               120187814.9803528          
16440.04640079202               120188040.5344647          
16925.82345160932               120188269.2046813          
17327.50006746138               120188500.8398901          
17645.60785930514               120188735.2472695          
17882.12076097979               120188972.1995914          
18040.30396814915               120189211.4286216          
18124.537239147                 120189452.6364595          
18140.08229861507               120189695.4975793          
18092.8108931044                120189939.6562926          
17988.90434767518               120190184.7378081          
17834.53104923572               120190430.3502772          
17635.52169295996               120190676.0926962          
17397.06415086794               120190921.5624011          
17123.46116114644               120191166.346277           
16817.90815620813               120191410.0587532          
16482.43034704747               120191652.3111268          
16117.84940842654               120191892.7434653          
15723.88395453151               120192131.0237052          
15299.35905286127               120192366.8395592          
14842.42939188103               120192599.9253901          
14350.92340025562               120192830.0467348          
13822.66068889682               120193057.014602           
13255.81027727088               120193280.6773561          
12649.19180960117               120193500.9309486          
12002.58091625627               120193717.7113             
11316.92984070572               120193931.0016444          
10594.59542017312               120194140.8207079          
9839.454079475152               120194347.2313773          
9057.044219824398               120194550.3270564          
8254.583476358341               120194750.240695           
7441.032253455938               120194947.129983           
7113.190859215363               120195025.4721765          
