DALA_SatFine.Jupiter.Altitude   DALA_SatFine.ElapsedSecs   
787.7265123208344               119977349.1282138          
DALA_SatFine.Jupiter.Altitude   DALA_SatFine.ElapsedSecs   
787.7265123208344               119977349.1282138          
765.6849742614868               119977409.128214           
1145.578605434741               119977556.0779689          
2216.43901854461                119977712.6110045          
3924.787007251231               119977868.4242605          
6325.329634694936               119978031.2415667          
9710.798501687983               119978216.4478091          
13610.97002498417               119978399.1922609          
17757.72485122448               119978574.1493485          
22268.07395508114               119978750.963316           
27233.19275633893               119978935.3228421          
32732.99059997484               119979131.3741544          
38855.46062883978               119979343.0671717          
45697.67056592113               119979574.4548304          
53341.86674499372               119979829.0717354          
61807.64456118943               119980108.5158915          
71057.04658753121               119980412.705746           
81084.73765280728               119980742.7930989          
91959.28007315702               119981102.4770977          
103805.4199442674               119981497.4963944          
116787.1332862073               119981935.2140879          
131099.7614122675               119982424.5310733          
146925.1881199115               119982974.5165759          
164286.7639341139               119983589.29653            
182950.1533956814               119984263.9094426          
202695.5262834776               119984993.3625916          
223497.7932761682               119985779.4204125          
245440.0063627756               119986627.9894877          
268635.7121739822               119987546.5011585          
293206.5532608954               119988543.164048           
319272.4430582344               119989626.6215533          
346958.1301073873               119990806.2549124          
376389.6933171109               119992092.0801863          
407699.752229202                119993495.0168032          
441028.3740650453               119995026.9906458          
476520.3796180811               119996700.8727228          
514332.7991928365               119998530.8964738          
554627.8236286768               120000532.4026099          
597584.41543361                 120002722.4948571          
643389.5418787997               120005119.7098085          
692242.0845736354               120007744.3078506          
741234.9331438325               120010444.3078506          
789079.3739155615               120013144.3078506          
835887.2644057194               120015844.3078506          
881753.0904224472               120018544.3078506          
920392.9974951728               120020859.4793336          
