Target: DALA_SatFine

Observer: Montegancedo
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Oct 2031 13:08:53.664    02 Oct 2031 20:46:28.702      27455.037663    
03 Oct 2031 13:06:03.574    03 Oct 2031 20:43:08.190      27424.616803    
04 Oct 2031 13:03:08.024    04 Oct 2031 20:39:48.338      27400.313200    
05 Oct 2031 13:00:10.500    05 Oct 2031 20:36:28.961      27378.460493    
06 Oct 2031 12:57:11.993    06 Oct 2031 20:33:10.049      27358.055912    
07 Oct 2031 12:54:12.954    07 Oct 2031 20:29:51.610      27338.655629    
08 Oct 2031 12:51:13.631    08 Oct 2031 20:26:33.651      27320.019326    
09 Oct 2031 12:48:14.178    09 Oct 2031 20:23:16.179      27302.001058    
10 Oct 2031 12:45:14.695    10 Oct 2031 20:19:59.201      27284.505389    
11 Oct 2031 12:42:15.251    11 Oct 2031 20:16:42.718      27267.466632    
12 Oct 2031 12:39:15.896    12 Oct 2031 20:13:26.734      27250.837863    
13 Oct 2031 12:36:16.666    13 Oct 2031 20:10:11.250      27234.584549    
14 Oct 2031 12:33:17.585    14 Oct 2031 20:06:56.266      27218.680558    
15 Oct 2031 12:30:18.676    15 Oct 2031 20:03:41.781      27203.105508    
16 Oct 2031 12:27:19.950    16 Oct 2031 20:00:27.793      27187.842977    
17 Oct 2031 12:24:21.421    17 Oct 2031 19:57:14.300      27172.879354    
18 Oct 2031 12:21:23.095    18 Oct 2031 19:54:01.298      27158.203239    
19 Oct 2031 12:18:24.977    19 Oct 2031 19:50:48.782      27143.805230    
20 Oct 2031 12:15:27.070    20 Oct 2031 19:47:36.748      27129.677955    
21 Oct 2031 12:12:29.375    21 Oct 2031 19:44:25.191      27115.816139    
22 Oct 2031 12:09:31.891    22 Oct 2031 19:41:14.107      27102.216556    
23 Oct 2031 12:06:34.614    23 Oct 2031 19:38:03.492      27088.877787    
24 Oct 2031 12:03:37.542    24 Oct 2031 19:34:53.342      27075.799760    
25 Oct 2031 12:00:40.670    25 Oct 2031 19:31:43.653      27062.983157    
26 Oct 2031 11:57:43.994    26 Oct 2031 19:28:34.423      27050.428816    
27 Oct 2031 11:54:47.511    27 Oct 2031 19:25:25.648      27038.137278    
28 Oct 2031 11:51:51.216    28 Oct 2031 19:22:17.324      27026.108574    
29 Oct 2031 11:48:55.105    29 Oct 2031 19:19:09.447      27014.342287    
30 Oct 2031 11:45:59.176    30 Oct 2031 19:16:02.014      27002.837807    


Number of events : 29


