Target: DALA_SatFine

Observer: Montegancedo
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Oct 2031 13:08:34.896    02 Oct 2031 13:42:07.038      2012.1420526    
02 Oct 2031 14:16:00.762    02 Oct 2031 17:13:33.854      10653.091370    
02 Oct 2031 17:47:29.052    02 Oct 2031 20:45:00.297      10651.244326    
03 Oct 2031 13:05:15.867    03 Oct 2031 14:22:06.276      4610.4081791    
03 Oct 2031 14:56:05.232    03 Oct 2031 17:53:31.149      10645.916803    
03 Oct 2031 18:27:30.906    03 Oct 2031 20:43:08.168      8137.2618031    
04 Oct 2031 13:01:59.905    04 Oct 2031 15:02:05.456      7205.5515442    
04 Oct 2031 15:36:13.002    04 Oct 2031 18:33:31.004      10638.002042    
04 Oct 2031 19:07:39.539    04 Oct 2031 20:39:47.157      5527.6185808    
05 Oct 2031 12:58:43.902    05 Oct 2031 15:42:04.388      9800.4862685    
05 Oct 2031 16:16:21.443    05 Oct 2031 19:13:31.214      10629.771166    
05 Oct 2031 19:47:50.718    05 Oct 2031 20:36:24.586      2913.8682098    
06 Oct 2031 13:25:18.784    06 Oct 2031 16:22:14.173      10615.389501    
06 Oct 2031 16:56:46.907    06 Oct 2031 19:53:40.409      10613.502858    
06 Oct 2031 20:28:14.549    06 Oct 2031 20:33:00.048      285.49865952    
07 Oct 2031 12:52:07.709    07 Oct 2031 13:30:52.205      2324.4961627    
07 Oct 2031 14:05:35.433    07 Oct 2031 17:02:19.267      10603.834028    
07 Oct 2031 17:37:04.804    07 Oct 2031 20:29:36.043      10351.238932    
08 Oct 2031 12:48:51.794    08 Oct 2031 14:10:59.066      4927.2725840    
08 Oct 2031 14:45:54.245    08 Oct 2031 17:42:24.773      10590.527973    
08 Oct 2031 18:17:20.965    08 Oct 2031 20:26:15.468      7734.5038131    
09 Oct 2031 12:45:38.601    09 Oct 2031 14:51:02.317      7523.7154265    
09 Oct 2031 15:26:08.238    09 Oct 2031 18:22:28.821      10580.583419    
09 Oct 2031 18:57:36.189    09 Oct 2031 20:22:57.242      5121.0529356    
10 Oct 2031 12:42:25.077    10 Oct 2031 15:30:59.697      10114.619936    
10 Oct 2031 16:06:08.943    10 Oct 2031 19:02:24.138      10575.195548    
10 Oct 2031 19:37:33.616    10 Oct 2031 20:19:37.149      2523.5324945    
11 Oct 2031 12:39:09.834    11 Oct 2031 12:39:29.581      19.746993575    
11 Oct 2031 13:14:43.330    11 Oct 2031 16:10:54.750      10571.419708    
11 Oct 2031 16:46:09.225    11 Oct 2031 19:42:19.693      10570.468492    
12 Oct 2031 12:35:54.006    12 Oct 2031 13:19:23.180      2609.1748143    
12 Oct 2031 13:54:41.687    12 Oct 2031 16:50:48.604      10566.917610    
